Date,Ticker,Open,High,Low,Close,Volume
1989-01-05,TSEA,5119.0,5119.0,4872.0,4873.0,3300.0
1989-01-06,TSEA,4873.0,4998.0,4645.0,4998.0,14300.0
1989-01-07,TSEA,4998.0,5203.0,4929.0,5137.0,13200.0
1989-01-09,TSEA,5137.0,5330.0,5121.0,5312.0,17200.0
1989-01-10,TSEA,5312.0,5470.0,5312.0,5470.0,21900.0
1989-01-11,TSEA,5470.0,5673.0,5470.0,5669.0,28600.0
1989-01-12,TSEA,5669.0,5800.0,5613.0,5613.0,31900.0
1989-01-13,TSEA,5613.0,5873.0,5613.0,5873.0,37500.0
1989-01-14,TSEA,5873.0,6072.0,5873.0,6063.0,32700.0
1989-01-16,TSEA,6063.0,6170.0,5922.0,5922.0,40600.0
1989-01-17,TSEA,5922.0,6151.0,5857.0,6151.0,37900.0
1989-01-18,TSEA,6151.0,6201.0,6058.0,6086.0,35500.0
1989-01-19,TSEA,6086.0,6096.0,5823.0,5826.0,35900.0
1989-01-20,TSEA,5826.0,5942.0,5671.0,5942.0,29200.0
1989-01-21,TSEA,5942.0,6047.0,5818.0,5818.0,26200.0
1989-01-23,TSEA,5818.0,5854.0,5761.0,5837.0,18800.0
1989-01-24,TSEA,5837.0,5950.0,5837.0,5837.0,18600.0
1989-01-25,TSEA,5837.0,5837.0,5692.0,5692.0,17200.0
1989-01-26,TSEA,5692.0,5692.0,5568.0,5576.0,19300.0
1989-01-27,TSEA,5576.0,5839.0,5576.0,5839.0,24800.0
1989-01-28,TSEA,5839.0,5909.0,5785.0,5819.0,20900.0
1989-01-30,TSEA,5819.0,5984.0,5768.0,5966.0,30700.0
1989-01-31,TSEA,5966.0,6195.0,5966.0,6157.0,46500.0
1989-02-01,TSEA,6157.0,6284.0,6157.0,6236.0,42400.0
1989-02-10,TSEA,6236.0,6506.0,6236.0,6474.0,27600.0
1989-02-11,TSEA,6474.0,6563.0,6455.0,6520.0,32800.0
1989-02-13,TSEA,6520.0,6618.0,6489.0,6489.0,48400.0
1989-02-14,TSEA,6489.0,6575.0,6485.0,6570.0,37700.0
1989-02-15,TSEA,6570.0,6697.0,6565.0,6565.0,46400.0
1989-02-16,TSEA,6565.0,6608.0,6545.0,6569.0,37300.0
1989-02-17,TSEA,6569.0,6745.0,6569.0,6734.0,47800.0
1989-02-18,TSEA,6734.0,6842.0,6713.0,6764.0,43200.0
1989-02-20,TSEA,6764.0,6846.0,6743.0,6811.0,52200.0
1989-02-21,TSEA,6811.0,6877.0,6797.0,6797.0,46200.0
1989-02-22,TSEA,6797.0,6797.0,6586.0,6697.0,43100.0
1989-02-23,TSEA,6697.0,6782.0,6697.0,6782.0,37300.0
1989-02-24,TSEA,6782.0,6908.0,6782.0,6851.0,52400.0
1989-02-25,TSEA,6851.0,6851.0,6774.0,6800.0,29500.0
1989-02-27,TSEA,6800.0,6891.0,6800.0,6885.0,41700.0
1989-02-28,TSEA,6885.0,7008.0,6885.0,7004.0,58300.0
1989-03-01,TSEA,7004.0,7146.0,7004.0,7124.0,64100.0
1989-03-02,TSEA,7124.0,7182.0,7081.0,7109.0,62100.0
1989-03-03,TSEA,7109.0,7200.0,7109.0,7200.0,67300.0
1989-03-04,TSEA,7200.0,7294.0,7065.0,7065.0,54800.0
1989-03-06,TSEA,7065.0,7190.0,7056.0,7190.0,57600.0
1989-03-07,TSEA,7190.0,7279.0,7190.0,7253.0,56900.0
1989-03-08,TSEA,7253.0,7340.0,7253.0,7337.0,63200.0
1989-03-09,TSEA,7337.0,7444.0,7337.0,7427.0,64700.0
1989-03-10,TSEA,7427.0,7478.0,7380.0,7383.0,56300.0
1989-03-11,TSEA,7383.0,7473.0,7383.0,7471.0,45400.0
1989-03-13,TSEA,7471.0,7666.0,7471.0,7628.0,72300.0
1989-03-14,TSEA,7628.0,7655.0,7518.0,7556.0,65900.0
1989-03-15,TSEA,7556.0,7634.0,7477.0,7477.0,54100.0
1989-03-16,TSEA,7477.0,7477.0,7219.0,7219.0,65500.0
1989-03-17,TSEA,7219.0,7288.0,7033.0,7126.0,50300.0
1989-03-18,TSEA,7126.0,7347.0,7126.0,7347.0,41700.0
1989-03-20,TSEA,7347.0,7347.0,7063.0,7087.0,48400.0
1989-03-21,TSEA,7087.0,7182.0,7037.0,7172.0,43000.0
1989-03-22,TSEA,7172.0,7308.0,7172.0,7200.0,54500.0
1989-03-23,TSEA,7200.0,7351.0,7184.0,7340.0,53200.0
1989-03-24,TSEA,7340.0,7450.0,7340.0,7381.0,69300.0
1989-03-25,TSEA,7381.0,7497.0,7381.0,7497.0,56800.0
1989-03-27,TSEA,7497.0,7674.0,7382.0,7382.0,93600.0
1989-03-28,TSEA,7382.0,7470.0,7252.0,7428.0,62300.0
1989-03-30,TSEA,7428.0,7487.0,7428.0,7466.0,66500.0
1989-03-31,TSEA,7466.0,7490.0,7361.0,7390.0,56700.0
1989-04-01,TSEA,7390.0,7390.0,7066.0,7075.0,61700.0
1989-04-03,TSEA,7075.0,7224.0,6972.0,7224.0,54500.0
1989-04-04,TSEA,7224.0,7312.0,7217.0,7312.0,60000.0
1989-04-06,TSEA,7312.0,7543.0,7312.0,7535.0,75400.0
1989-04-07,TSEA,7535.0,7714.0,7535.0,7619.0,79100.0
1989-04-08,TSEA,7619.0,7685.0,7595.0,7596.0,62500.0
1989-04-10,TSEA,7596.0,7792.0,7596.0,7780.0,72800.0
1989-04-11,TSEA,7780.0,7909.0,7761.0,7836.0,93900.0
1989-04-12,TSEA,7836.0,7916.0,7792.0,7792.0,87600.0
1989-04-13,TSEA,7792.0,7874.0,7771.0,7782.0,76900.0
1989-04-14,TSEA,7782.0,7899.0,7571.0,7638.0,86600.0
