Date,Ticker,Open,High,Low,Close,Volume
1998-08-20,TX00,7300.0,7300.0,7253.0,7274.0,322.0
1998-08-21,TX00,7255.0,7255.0,7220.0,7225.0,301.0
1998-08-24,TX00,7172.0,7175.0,6955.0,6955.0,919.0
1998-08-25,TX00,6938.0,6970.0,6844.0,6949.0,780.0
1998-08-26,TX00,6990.0,7014.0,6790.0,6790.0,839.0
1998-08-27,TX00,6681.0,6850.0,6651.0,6835.0,1137.0
1998-08-28,TX00,6699.0,6820.0,6655.0,6695.0,1262.0
1998-08-29,TX00,6700.0,6780.0,6700.0,6728.0,698.0
1998-08-31,TX00,6750.0,6756.0,6566.0,6566.0,922.0
1998-09-01,TX00,6352.0,6410.0,6216.0,6410.0,1584.0
1998-09-02,TX00,6494.0,6495.0,6380.0,6430.0,1417.0
1998-09-03,TX00,6400.0,6400.0,6200.0,6200.0,1459.0
1998-09-04,TX00,6120.0,6400.0,6120.0,6399.0,1789.0
1998-09-05,TX00,6420.0,6710.0,6420.0,6700.0,2198.0
1998-09-07,TX00,6730.0,6769.0,6603.0,6719.0,1632.0
1998-09-08,TX00,6719.0,6870.0,6700.0,6865.0,1410.0
1998-09-09,TX00,6930.0,6931.0,6735.0,6770.0,1901.0
1998-09-10,TX00,6720.0,6798.0,6702.0,6730.0,1371.0
1998-09-11,TX00,6680.0,6769.0,6630.0,6769.0,1804.0
1998-09-14,TX00,6789.0,6849.0,6769.0,6818.0,871.0
1998-09-15,TX00,6840.0,6850.0,6780.0,6825.0,612.0
1998-09-16,TX00,6815.0,6995.0,6815.0,6995.0,732.0
1998-09-17,TX00,6945.0,6964.0,6892.0,6906.0,1979.0
1998-09-18,TX00,6840.0,6876.0,6832.0,6842.0,1470.0
1998-09-19,TX00,6859.0,7040.0,6855.0,7039.0,2339.0
1998-09-21,TX00,7035.0,7060.0,6850.0,6861.0,2307.0
1998-09-22,TX00,6930.0,6958.0,6855.0,6926.0,1715.0
1998-09-23,TX00,6900.0,6946.0,6850.0,6852.0,1773.0
1998-09-24,TX00,6940.0,6940.0,6870.0,6890.0,1403.0
1998-09-25,TX00,6856.0,6881.0,6771.0,6871.0,1928.0
1998-09-28,TX00,6860.0,6880.0,6801.0,6840.0,1107.0
1998-09-29,TX00,6870.0,6875.0,6780.0,6806.0,1389.0
1998-09-30,TX00,6806.0,6827.0,6751.0,6787.0,1239.0
1998-10-01,TX00,6738.0,6745.0,6620.0,6620.0,2073.0
1998-10-02,TX00,6530.0,6530.0,6311.0,6398.0,2532.0
1998-10-03,TX00,6398.0,6555.0,6398.0,6550.0,2343.0
1998-10-06,TX00,6490.0,6493.0,6320.0,6450.0,2007.0
1998-10-07,TX00,6469.0,6640.0,6469.0,6639.0,2348.0
1998-10-08,TX00,6600.0,7035.0,6600.0,6981.0,3281.0
1998-10-09,TX00,6980.0,7028.0,6830.0,6900.0,3290.0
1998-10-12,TX00,6980.0,6980.0,6900.0,6935.0,1613.0
1998-10-13,TX00,6950.0,6990.0,6851.0,6852.0,2387.0
1998-10-14,TX00,6830.0,6830.0,6740.0,6775.0,2224.0
1998-10-15,TX00,6775.0,6781.0,6720.0,6760.0,1188.0
1998-10-17,TX00,6950.0,6975.0,6895.0,6908.0,1592.0
1998-10-19,TX00,6920.0,6926.0,6871.0,6900.0,641.0
1998-10-20,TX00,6885.0,6898.0,6812.0,6812.0,777.0
1998-10-21,TX00,6812.0,7055.0,6789.0,7054.0,926.0
1998-10-22,TX00,7030.0,7038.0,6905.0,6955.0,2243.0
1998-10-23,TX00,6975.0,7040.0,6962.0,7015.0,2586.0
1998-10-26,TX00,7000.0,7010.0,6951.0,7010.0,1463.0
1998-10-27,TX00,7020.0,7061.0,6980.0,7014.0,2071.0
1998-10-28,TX00,7005.0,7020.0,6906.0,6914.0,2947.0
1998-10-29,TX00,6912.0,6965.0,6907.0,6965.0,1515.0
1998-10-30,TX00,7000.0,7046.0,6950.0,7035.0,2302.0
1998-10-31,TX00,7058.0,7120.0,7035.0,7118.0,2753.0
1998-11-02,TX00,7129.0,7200.0,7118.0,7181.0,2530.0
1998-11-03,TX00,7150.0,7150.0,7073.0,7080.0,2876.0
1998-11-04,TX00,7051.0,7060.0,6920.0,6959.0,3388.0
1998-11-05,TX00,6970.0,7025.0,6903.0,7015.0,2888.0
1998-11-06,TX00,7018.0,7018.0,6915.0,6921.0,3000.0
1998-11-07,TX00,6930.0,7000.0,6930.0,7000.0,2117.0
1998-11-09,TX00,7001.0,7018.0,6940.0,6965.0,1374.0
1998-11-10,TX00,6901.0,6901.0,6828.0,6831.0,2496.0
1998-11-11,TX00,6781.0,6788.0,6707.0,6710.0,2317.0
1998-11-13,TX00,6850.0,6899.0,6820.0,6894.0,2411.0
1998-11-16,TX00,6914.0,7072.0,6914.0,7070.0,1784.0
1998-11-17,TX00,7070.0,7180.0,7041.0,7165.0,1252.0
1998-11-18,TX00,7195.0,7198.0,7052.0,7110.0,940.0
1998-11-19,TX00,7160.0,7365.0,7160.0,7350.0,3567.0
1998-11-20,TX00,7360.0,7390.0,7293.0,7390.0,2989.0
1998-11-21,TX00,7425.0,7456.0,7355.0,7380.0,3385.0
1998-11-23,TX00,7326.0,7380.0,7320.0,7344.0,1636.0
1998-11-24,TX00,7425.0,7538.0,7425.0,7525.0,3250.0
1998-11-25,TX00,7250.0,7380.0,7250.0,7366.0,4222.0
1998-11-26,TX00,7385.0,7550.0,7368.0,7529.0,3485.0
1998-11-27,TX00,7550.0,7558.0,7455.0,7490.0,2598.0
1998-11-30,TX00,7480.0,7484.0,7410.0,7414.0,2119.0
1998-12-01,TX00,7360.0,7415.0,7328.0,7335.0,2750.0
1998-12-02,TX00,7400.0,7420.0,7355.0,7380.0,2268.0
1998-12-03,TX00,7365.0,7370.0,7301.0,7321.0,1844.0
1998-12-04,TX00,7320.0,7384.0,7306.0,7384.0,2017.0
1998-12-07,TX00,7534.0,7540.0,7470.0,7470.0,2958.0
1998-12-08,TX00,7500.0,7510.0,7350.0,7352.0,2678.0
1998-12-09,TX00,7328.0,7338.0,7201.0,7226.0,2646.0
1998-12-10,TX00,7200.0,7250.0,7151.0,7186.0,2171.0
1998-12-11,TX00,7110.0,7190.0,6960.0,6965.0,2886.0
1998-12-14,TX00,6965.0,7040.0,6940.0,6959.0,1576.0
1998-12-15,TX00,6901.0,7010.0,6760.0,7000.0,2067.0
1998-12-16,TX00,6975.0,6985.0,6760.0,6760.0,1701.0
1998-12-17,TX00,6761.0,6870.0,6672.0,6682.0,5171.0
1998-12-18,TX00,6750.0,6830.0,6660.0,6769.0,5258.0
1998-12-19,TX00,6759.0,6759.0,6588.0,6612.0,4491.0
1998-12-21,TX00,6660.0,6747.0,6650.0,6705.0,3869.0
1998-12-22,TX00,6749.0,6950.0,6732.0,6940.0,4617.0
1998-12-23,TX00,6920.0,6930.0,6820.0,6835.0,3868.0
1998-12-24,TX00,6920.0,6949.0,6835.0,6840.0,3721.0
1998-12-28,TX00,6789.0,6789.0,6550.0,6591.0,4403.0
1998-12-29,TX00,6530.0,6645.0,6480.0,6630.0,3876.0
1998-12-30,TX00,6649.0,6720.0,6581.0,6608.0,4600.0
1998-12-31,TX00,6669.0,6680.0,6531.0,6531.0,3173.0
1999-01-05,TX00,6430.0,6430.0,6074.0,6120.0,5058.0
1999-01-06,TX00,6011.0,6330.0,6011.0,6245.0,5903.0
1999-01-07,TX00,6385.0,6510.0,6211.0,6510.0,5515.0
1999-01-08,TX00,6442.0,6520.0,6391.0,6452.0,4385.0
1999-01-11,TX00,6478.0,6500.0,6385.0,6435.0,2558.0
1999-01-12,TX00,6435.0,6470.0,6360.0,6390.0,3116.0
1999-01-13,TX00,6332.0,6360.0,6290.0,6350.0,2604.0
1999-01-14,TX00,6318.0,6335.0,6231.0,6280.0,2775.0
1999-01-15,TX00,6220.0,6600.0,6200.0,6600.0,3923.0
1999-01-16,TX00,6599.0,6619.0,6502.0,6530.0,2442.0
1999-01-18,TX00,6530.0,6530.0,6410.0,6424.0,833.0
1999-01-19,TX00,6421.0,6486.0,6355.0,6385.0,932.0
1999-01-20,TX00,6385.0,6395.0,6309.0,6321.0,1015.0
1999-01-21,TX00,6420.0,6548.0,6415.0,6417.0,4800.0
1999-01-22,TX00,6359.0,6391.0,6271.0,6285.0,3985.0
1999-01-25,TX00,6220.0,6220.0,6031.0,6040.0,3424.0
1999-01-26,TX00,6089.0,6230.0,6026.0,6220.0,5115.0
1999-01-27,TX00,6249.0,6270.0,6141.0,6145.0,3848.0
1999-01-28,TX00,6101.0,6140.0,6052.0,6070.0,3359.0
1999-01-29,TX00,6102.0,6120.0,6020.0,6080.0,3691.0
1999-01-30,TX00,6080.0,6200.0,6050.0,6110.0,5084.0
1999-02-01,TX00,6051.0,6051.0,5952.0,5955.0,3184.0
1999-02-02,TX00,6000.0,6010.0,5860.0,5880.0,3803.0
1999-02-03,TX00,5800.0,5940.0,5711.0,5890.0,5641.0
1999-02-04,TX00,5852.0,5870.0,5550.0,5558.0,5240.0
1999-02-05,TX00,5462.0,5775.0,5462.0,5580.0,5807.0
1999-02-06,TX00,5640.0,5770.0,5590.0,5767.0,5022.0
1999-02-08,TX00,5750.0,5890.0,5750.0,5835.0,3574.0
1999-02-09,TX00,5800.0,5810.0,5751.0,5770.0,1545.0
1999-02-10,TX00,5735.0,5849.0,5720.0,5840.0,1373.0
1999-02-20,TX00,5980.0,6149.0,5950.0,6140.0,1197.0
1999-02-22,TX00,6250.0,6550.0,6250.0,6530.0,5356.0
1999-02-23,TX00,6539.0,6540.0,6315.0,6315.0,5973.0
1999-02-24,TX00,6335.0,6426.0,6275.0,6425.0,5943.0
1999-02-25,TX00,6395.0,6499.0,6350.0,6380.0,5210.0
1999-02-26,TX00,6355.0,6470.0,6285.0,6469.0,4658.0
1999-03-01,TX00,6410.0,6456.0,6368.0,6419.0,3787.0
1999-03-02,TX00,6450.0,6450.0,6312.0,6345.0,4189.0
1999-03-03,TX00,6301.0,6495.0,6298.0,6450.0,5452.0
1999-03-04,TX00,6450.0,6478.0,6380.0,6388.0,5499.0
1999-03-05,TX00,6400.0,6445.0,6340.0,6420.0,4323.0
1999-03-06,TX00,6528.0,6534.0,6435.0,6440.0,4710.0
1999-03-08,TX00,6450.0,6465.0,6390.0,6465.0,2462.0
1999-03-09,TX00,6465.0,6535.0,6445.0,6489.0,4157.0
1999-03-10,TX00,6480.0,6520.0,6460.0,6520.0,2695.0
1999-03-11,TX00,6549.0,6549.0,6451.0,6451.0,2635.0
1999-03-12,TX00,6455.0,6489.0,6431.0,6489.0,1699.0
1999-03-15,TX00,6466.0,6630.0,6450.0,6619.0,2078.0
1999-03-16,TX00,6634.0,6698.0,6619.0,6659.0,1487.0
1999-03-17,TX00,6680.0,6790.0,6675.0,6776.0,1484.0
1999-03-18,TX00,6775.0,6940.0,6775.0,6934.0,4144.0
1999-03-19,TX00,6968.0,7080.0,6915.0,7070.0,4410.0
1999-03-20,TX00,7044.0,7080.0,7011.0,7075.0,3769.0
1999-03-22,TX00,7055.0,7135.0,7025.0,7100.0,2710.0
1999-03-23,TX00,7130.0,7157.0,7005.0,7005.0,4342.0
1999-03-24,TX00,6921.0,7000.0,6920.0,6981.0,4683.0
1999-03-25,TX00,7010.0,7035.0,6980.0,7010.0,2906.0
1999-03-26,TX00,7054.0,7110.0,7030.0,7095.0,3784.0
1999-03-29,TX00,7095.0,7095.0,6947.0,6947.0,3684.0
1999-03-30,TX00,6990.0,7000.0,6920.0,6984.0,3603.0
1999-03-31,TX00,6949.0,6971.0,6888.0,6935.0,3602.0
1999-04-01,TX00,6920.0,7117.0,6916.0,7110.0,4887.0
1999-04-02,TX00,7137.0,7390.0,7130.0,7366.0,5807.0
1999-04-03,TX00,7379.0,7388.0,7280.0,7305.0,4636.0
1999-04-06,TX00,7351.0,7365.0,7280.0,7314.0,2770.0
1999-04-07,TX00,7310.0,7320.0,7235.0,7274.0,3160.0
1999-04-08,TX00,7308.0,7435.0,7302.0,7380.0,4669.0
1999-04-09,TX00,7410.0,7434.0,7330.0,7330.0,4024.0
1999-04-12,TX00,7280.0,7325.0,7236.0,7275.0,3680.0
1999-04-13,TX00,7330.0,7380.0,7310.0,7377.0,3347.0
1999-04-14,TX00,7359.0,7429.0,7356.0,7365.0,3501.0
1999-04-15,TX00,7360.0,7480.0,7320.0,7480.0,3417.0
1999-04-16,TX00,7525.0,7540.0,7410.0,7460.0,2774.0
1999-04-17,TX00,7441.0,7570.0,7427.0,7570.0,1899.0
1999-04-19,TX00,7596.0,7669.0,7551.0,7620.0,1296.0
1999-04-20,TX00,7558.0,7668.0,7551.0,7640.0,901.0
1999-04-21,TX00,7662.0,7688.0,7480.0,7490.0,1798.0
1999-04-22,TX00,7589.0,7618.0,7535.0,7590.0,4262.0
1999-04-23,TX00,7630.0,7689.0,7616.0,7653.0,4592.0
1999-04-26,TX00,7631.0,7665.0,7585.0,7630.0,3108.0
1999-04-27,TX00,7640.0,7650.0,7550.0,7575.0,3256.0
1999-04-28,TX00,7561.0,7589.0,7540.0,7559.0,2636.0
1999-04-29,TX00,7502.0,7502.0,7381.0,7381.0,5961.0
1999-04-30,TX00,7350.0,7440.0,7335.0,7440.0,4727.0
1999-05-03,TX00,7450.0,7450.0,7382.0,7436.0,2622.0
1999-05-04,TX00,7479.0,7629.0,7479.0,7625.0,5721.0
1999-05-05,TX00,7581.0,7637.0,7568.0,7599.0,3291.0
1999-05-06,TX00,7650.0,7669.0,7581.0,7603.0,3294.0
1999-05-07,TX00,7551.0,7579.0,7501.0,7519.0,3685.0
